500 7500
1 72 4
2 72 82
3 27 24
4 75 30
5 34 100
6 60 71
7 36 16
8 50 16
9 51 58
10 75 92
11 33 52
12 66 24
13 41 60
14 86 8
15 45 66
16 56 86
17 78 58
18 61 88
19 39 71
20 34 53
21 97 29
22 47 51
23 77 43
24 95 93
25 40 33
26 88 26
27 51 77
28 81 52
29 52 11
30 44 6
31 75 56
32 74 28
33 70 12
34 58 69
35 76 84
36 63 53
37 70 27
38 96 6
39 93 85
40 71 7
41 99 30
42 27 62
43 28 53
44 56 18
45 43 29
46 46 50
47 92 91
48 56 90
49 49 14
50 58 87
51 95 48
52 44 18
53 98 84
54 76 51
55 74 52
56 35 22
57 83 10
58 77 53
59 76 15
60 87 8
61 37 52
62 37 30
63 83 98
64 32 25
65 79 69
66 75 76
67 36 65
68 63 56
69 61 61
70 43 21
71 62 81
72 60 26
73 58 42
74 71 73
75 51 76
76 38 97
77 50 86
78 88 61
79 60 22
80 76 100
81 35 72
82 67 46
83 32 92
84 55 8
85 72 15
86 25 5
87 76 49
88 82 49
89 94 27
90 93 92
91 42 88
92 50 29
93 36 100
94 66 52
95 41 12
96 80 57
97 39 45
98 63 69
99 35 67
100 39 37
101 29 7
102 92 97
103 92 87
104 97 65
105 45 90
106 45 3
107 27 50
108 36 24
109 62 43
110 37 56
111 58 35
112 77 29
113 90 68
114 62 20
115 60 94
116 29 53
117 73 22
118 58 78
119 69 93
120 36 37
121 27 94
122 25 28
123 100 94
124 86 60
125 73 90
126 29 94
127 76 49
128 80 45
129 83 32
130 34 13
131 39 47
132 77 13
133 61 48
134 79 64
135 33 47
136 81 17
137 71 42
138 34 83
139 37 52
140 49 33
141 62 66
142 36 97
143 40 62
144 26 78
145 57 64
146 53 65
147 69 29
148 53 22
149 56 76
150 60 64
151 60 29
152 100 96
153 67 56
154 32 89
155 83 75
156 34 73
157 60 84
158 30 42
159 49 71
160 94 90
161 93 29
162 98 25
163 78 85
164 51 66
165 54 72
166 63 74
167 76 8
168 44 7
169 76 42
170 94 85
171 25 20
172 71 100
173 40 96
174 60 100
175 71 51
176 31 34
177 30 97
178 48 95
179 95 66
180 94 18
181 73 41
182 71 23
183 95 75
184 77 35
185 49 56
186 70 100
187 37 18
188 69 21
189 71 73
190 41 44
191 96 7
192 67 27
193 50 97
194 54 94
195 67 48
196 69 38
197 63 7
198 43 22
199 63 57
200 47 92
201 25 5
202 79 84
203 83 6
204 36 70
205 52 84
206 27 80
207 67 48
208 42 41
209 94 87
210 62 71
211 47 69
212 34 7
213 59 98
214 75 58
215 84 91
216 77 98
217 39 19
218 25 49
219 44 82
220 25 86
221 73 88
222 93 60
223 99 92
224 78 77
225 93 6
226 99 89
227 59 6
228 60 12
229 65 93
230 48 60
231 85 17
232 27 36
233 67 36
234 57 67
235 96 66
236 98 23
237 61 6
238 29 51
239 67 2
240 82 45
241 71 77
242 54 12
243 72 40
244 85 98
245 55 36
246 83 85
247 41 23
248 44 94
249 29 39
250 78 52
251 53 35
252 54 66
253 47 99
254 41 62
255 69 19
256 40 63
257 49 57
258 71 19
259 80 68
260 73 38
261 99 67
262 34 92
263 48 15
264 89 74
265 43 73
266 84 38
267 100 8
268 30 77
269 25 61
270 82 16
271 54 54
272 31 46
273 33 29
274 33 28
275 78 94
276 56 34
277 34 95
278 73 94
279 73 28
280 84 99
281 86 41
282 37 81
283 73 4
284 34 10
285 35 44
286 77 42
287 36 24
288 44 75
289 65 91
290 35 9
291 32 37
292 26 88
293 68 59
294 37 88
295 69 96
296 33 93
297 96 34
298 66 15
299 76 95
300 74 22
301 66 54
302 47 14
303 83 87
304 37 59
305 78 66
306 89 81
307 49 1
308 93 94
309 38 70
310 58 22
311 92 72
312 100 40
313 28 33
314 80 26
315 30 3
316 93 54
317 33 67
318 74 63
319 54 52
320 28 70
321 26 47
322 85 45
323 65 65
324 86 93
325 88 87
326 37 14
327 37 66
328 76 86
329 45 32
330 56 70
331 29 68
332 34 48
333 37 26
334 80 25
335 55 46
336 29 55
337 96 28
338 35 28
339 37 54
340 83 90
341 100 9
342 38 74
343 74 91
344 100 67
345 30 69
346 75 61
347 48 2
348 42 12
349 26 29
350 66 31
351 98 43
352 30 20
353 88 19
354 30 27
355 64 59
356 66 36
357 27 58
358 42 56
359 82 8
360 36 42
361 100 77
362 56 95
363 66 65
364 75 5
365 98 18
366 57 86
367 52 79
368 91 85
369 76 68
370 90 34
371 37 22
372 30 94
373 51 47
374 29 16
375 79 36
376 56 58
377 91 63
378 86 89
379 39 41
380 56 65
381 96 65
382 78 92
383 84 95
384 93 6
